Time,X,Y,Radian
14.912,0.6300000000000002,4.409999999999997,3.14
14.944,0.7200000000000002,4.409999999999997,0.0
14.976,0.8100000000000002,4.409999999999997,0.0
15.008000000000001,0.9000000000000001,4.409999999999997,0.0
15.040000000000001,0.9900000000000001,4.409999999999997,0.0
15.072000000000001,1.08,4.409999999999997,0.0
15.104000000000001,1.1700000000000002,4.409999999999997,0.0
15.136000000000001,1.2600000000000002,4.409999999999997,0.0
15.168000000000001,1.3500000000000003,4.409999999999997,0.0
15.200000000000001,1.4400000000000004,4.409999999999997,0.0
15.232000000000001,1.5300000000000005,4.409999999999997,0.0
15.264000000000001,1.6200000000000006,4.409999999999997,0.0
15.296000000000001,1.7100000000000006,4.409999999999997,0.0
15.328000000000001,1.8000000000000007,4.409999999999997,0.0
15.36,1.8900000000000008,4.409999999999997,0.0
15.392,1.9800000000000009,4.409999999999997,0.0
15.424,2.0700000000000007,4.409999999999997,0.0
15.456,2.1600000000000006,4.409999999999997,0.0
15.584,2.0700000000000007,4.409999999999997,0.0
15.616,1.9800000000000006,4.409999999999997,3.14
15.648,1.8900000000000006,4.409999999999997,3.14
15.68,1.8000000000000005,4.409999999999997,3.14
15.712,1.7100000000000004,4.409999999999997,3.14
15.744,1.6200000000000003,4.409999999999997,3.14
15.776,1.5300000000000002,4.409999999999997,3.14
15.808,1.4400000000000002,4.409999999999997,3.14
15.84,1.35,4.409999999999997,3.14
15.872,1.26,4.409999999999997,3.14
15.904,1.17,4.409999999999997,3.14
15.936,1.0799999999999998,4.409999999999997,3.14
15.968,0.9899999999999999,4.409999999999997,3.14
16.0,0.8999999999999999,4.409999999999997,3.14
16.032,0.8099999999999999,4.409999999999997,3.14
16.064,0.72,4.409999999999997,3.14
16.096,0.63,4.409999999999997,3.14
16.128,0.54,4.409999999999997,3.14
16.16,0.45000000000000007,4.409999999999997,3.14
16.192,0.3600000000000001,4.409999999999997,3.14
16.224,0.27000000000000013,4.409999999999997,3.14
16.256,0.18000000000000013,4.409999999999997,3.14
16.288,0.09000000000000014,4.409999999999997,3.14
16.32,1.3877787807814457e-16,4.409999999999997,3.14
16.352,-0.08999999999999986,4.409999999999997,3.14
16.384,-0.17999999999999985,4.409999999999997,3.14
16.416,-0.26999999999999985,4.409999999999997,3.14
16.448,-0.3599999999999999,4.409999999999997,3.14
16.48,-0.44999999999999984,4.409999999999997,3.14
16.512,-0.5399999999999998,4.409999999999997,3.14
16.544,-0.6299999999999998,4.409999999999997,3.14
16.576,-0.7199999999999998,4.409999999999997,3.14
16.608,-0.8099999999999997,4.409999999999997,3.14
16.64,-0.8999999999999997,4.409999999999997,3.14
16.672,-0.9899999999999997,4.409999999999997,3.14
16.704,-1.0799999999999996,4.409999999999997,3.14
16.736,-1.0799999999999996,4.319999999999997,3.14
16.768,-1.0799999999999996,4.229999999999997,-1.57
16.8,-1.0799999999999996,4.139999999999997,-1.57
16.832,-1.0799999999999996,4.049999999999997,-1.57
16.864,-1.0799999999999996,3.9599999999999973,-1.57
16.896,-1.0799999999999996,3.8699999999999974,-1.57
16.928,-1.0799999999999996,3.7799999999999976,-1.57
16.96,-1.0799999999999996,3.6899999999999977,-1.57
16.992,-1.0799999999999996,3.599999999999998,-1.57
17.024,-1.0799999999999996,3.509999999999998,-1.57
17.056,-1.0799999999999996,3.419999999999998,-1.57
17.088,-1.0799999999999996,3.3299999999999983,-1.57
17.12,-1.0799999999999996,3.2399999999999984,-1.57
17.152,-1.0799999999999996,3.1499999999999986,-1.57
17.184,-1.0799999999999996,3.0599999999999987,-1.57
17.216,-1.0799999999999996,2.969999999999999,-1.57
17.248,-1.0799999999999996,2.879999999999999,-1.57
17.28,-1.0799999999999996,2.789999999999999,-1.57
17.312,-1.0799999999999996,2.6999999999999993,-1.57
17.344,-1.0799999999999996,2.6099999999999994,-1.57
17.376,-1.0799999999999996,2.5199999999999996,-1.57
17.408,-1.0799999999999996,2.4299999999999997,-1.57
17.44,-1.0799999999999996,2.34,-1.57
17.472,-1.0799999999999996,2.25,-1.57
17.504,-1.0799999999999996,2.16,-1.57
17.536,-1.0799999999999996,2.0700000000000003,-1.57
17.568,-1.0799999999999996,1.9800000000000002,-1.57
17.6,-1.0799999999999996,1.8900000000000001,-1.57
17.632,-1.0799999999999996,1.8,-1.57
17.664,-1.0799999999999996,1.71,-1.57
17.696,-1.0799999999999996,1.6199999999999999,-1.57
17.728,-1.0799999999999996,1.5299999999999998,-1.57
17.76,-1.0799999999999996,1.4399999999999997,-1.57
17.792,-1.0799999999999996,1.3499999999999996,-1.57
17.824,-1.0799999999999996,1.2599999999999996,-1.57
17.856,-1.0799999999999996,1.1699999999999995,-1.57
17.888,-1.0799999999999996,1.0799999999999994,-1.57
17.92,-1.0799999999999996,0.9899999999999994,-1.57
17.952,-1.0799999999999996,0.8999999999999995,-1.57
17.984,-1.0799999999999996,0.8099999999999995,-1.57
18.016000000000002,-1.0799999999999996,0.7199999999999995,-1.57
18.048000000000002,-1.0799999999999996,0.6299999999999996,-1.57
18.080000000000002,-1.0799999999999996,0.7199999999999995,-1.57
18.112000000000002,-1.0799999999999996,0.8099999999999995,1.57
18.144000000000002,-1.0799999999999996,0.8999999999999995,1.57
18.176000000000002,-1.0799999999999996,0.9899999999999994,1.57
18.208000000000002,-1.0799999999999996,1.0799999999999994,1.57
18.240000000000002,-1.0799999999999996,1.1699999999999995,1.57
18.272000000000002,-1.0799999999999996,1.2599999999999996,1.57
18.304000000000002,-1.0799999999999996,1.3499999999999996,1.57
18.336000000000002,-1.0799999999999996,1.4399999999999997,1.57
18.368000000000002,-1.0799999999999996,1.5299999999999998,1.57
18.400000000000002,-1.0799999999999996,1.6199999999999999,1.57
18.432000000000002,-1.0799999999999996,1.71,1.57
18.464,-1.0799999999999996,1.8,1.57
18.496,-1.0799999999999996,1.8900000000000001,1.57
18.528,-1.0799999999999996,1.9800000000000002,1.57
18.56,-1.0799999999999996,2.0700000000000003,1.57
18.592,-1.0799999999999996,2.16,1.57
18.624,-1.0799999999999996,2.25,1.57
18.656,-1.0799999999999996,2.34,1.57
18.688,-1.0799999999999996,2.4299999999999997,1.57
18.72,-1.0799999999999996,2.5199999999999996,1.57
18.752,-1.0799999999999996,2.6099999999999994,1.57
18.784,-1.0799999999999996,2.6999999999999993,1.57
18.816,-1.0799999999999996,2.789999999999999,1.57
18.848,-1.0799999999999996,2.879999999999999,1.57
18.88,-1.0799999999999996,2.969999999999999,1.57
18.912,-1.0799999999999996,3.0599999999999987,1.57
18.944,-1.0799999999999996,3.1499999999999986,1.57
18.976,-1.0799999999999996,3.2399999999999984,1.57
19.008,-1.0799999999999996,3.3299999999999983,1.57
19.04,-1.0799999999999996,3.419999999999998,1.57
19.072,-1.0799999999999996,3.509999999999998,1.57
19.104,-1.0799999999999996,3.599999999999998,1.57
19.136,-1.0799999999999996,3.6899999999999977,1.57
19.168,-1.0799999999999996,3.7799999999999976,1.57
19.2,-1.0799999999999996,3.8699999999999974,1.57
19.232,-1.0799999999999996,3.9599999999999973,1.57
19.264,-1.0799999999999996,4.049999999999997,1.57
19.296,-1.0799999999999996,4.139999999999997,1.57
19.328,-1.0799999999999996,4.229999999999997,1.57
19.36,-1.0799999999999996,4.319999999999997,1.57
19.392,-1.0799999999999996,4.409999999999997,1.57
19.424,-1.0799999999999996,4.4999999999999964,1.57
19.456,-1.0799999999999996,4.589999999999996,1.57
19.488,-1.0799999999999996,4.679999999999996,1.57
19.52,-1.0799999999999996,4.769999999999996,1.57
19.552,-1.0799999999999996,4.859999999999996,1.57
19.584,-1.0799999999999996,4.949999999999996,1.57
19.616,-1.0799999999999996,5.039999999999996,1.57
19.648,-1.0799999999999996,5.1299999999999955,1.57
19.68,-1.0799999999999996,5.219999999999995,1.57
19.712,-1.0799999999999996,5.309999999999995,1.57
19.744,-1.0799999999999996,5.399999999999995,1.57
19.776,-1.0799999999999996,5.489999999999995,1.57
19.808,-1.0799999999999996,5.579999999999995,1.57
19.84,-1.0799999999999996,5.669999999999995,1.57
19.872,-1.0799999999999996,5.7599999999999945,1.57
19.904,-1.0799999999999996,5.849999999999994,1.57
19.936,-1.0799999999999996,5.939999999999994,1.57
19.968,-1.0799999999999996,6.029999999999994,1.57
20.0,-1.0799999999999996,6.119999999999994,1.57
20.032,-1.0799999999999996,6.209999999999994,1.57
20.064,-1.0799999999999996,6.299999999999994,1.57
20.096,-1.0799999999999996,6.3899999999999935,1.57
20.128,-1.0799999999999996,6.479999999999993,1.57
20.16,-1.0799999999999996,6.569999999999993,1.57
20.192,-1.0799999999999996,6.659999999999993,1.57
20.224,-1.0799999999999996,6.749999999999993,1.57
20.256,-1.0799999999999996,6.839999999999993,1.57
20.288,-1.0799999999999996,6.929999999999993,1.57
20.32,-1.0799999999999996,7.0199999999999925,1.57
20.352,-1.0799999999999996,7.109999999999992,1.57
20.384,-1.0799999999999996,7.199999999999992,1.57
20.416,-1.0799999999999996,7.289999999999992,1.57
20.448,-1.0799999999999996,7.379999999999992,1.57
20.48,-1.0799999999999996,7.469999999999992,1.57
20.512,-1.0799999999999996,7.559999999999992,1.57
20.544,-1.0799999999999996,7.6499999999999915,1.57
20.576,-1.0799999999999996,7.739999999999991,1.57
20.608,-1.0799999999999996,7.829999999999991,1.57
20.64,-1.0799999999999996,7.919999999999991,1.57
20.672,-1.0799999999999996,8.009999999999991,1.57
20.704,-1.0799999999999996,8.09999999999999,1.57
20.736,-1.0799999999999996,8.18999999999999,1.57
20.768,-1.0799999999999996,8.27999999999999,1.57
20.8,-1.0799999999999996,8.36999999999999,1.57
20.832,-1.0799999999999996,8.45999999999999,1.57
20.864,-1.0799999999999996,8.54999999999999,1.57
20.896,-1.0799999999999996,8.63999999999999,1.57
20.928,-1.0799999999999996,8.72999999999999,1.57
20.96,-1.0799999999999996,8.81999999999999,1.57
20.992,-1.0799999999999996,8.90999999999999,1.57
21.024,-1.0799999999999996,8.99999999999999,1.57
21.056,-1.0799999999999996,9.08999999999999,1.57
21.088,-1.0799999999999996,9.179999999999989,1.57
21.12,-1.0799999999999996,9.269999999999989,1.57
21.152,-1.0799999999999996,9.359999999999989,1.57
21.184,-1.0799999999999996,9.449999999999989,1.57
21.216,-1.0799999999999996,9.539999999999988,1.57
21.248,-1.0799999999999996,9.629999999999988,1.57
21.28,-1.0799999999999996,9.719999999999988,1.57
21.312,-1.0799999999999996,9.809999999999988,1.57
21.344,-1.0799999999999996,9.899999999999988,1.57
21.376,-1.0799999999999996,9.989999999999988,1.57
21.408,-1.0799999999999996,10.079999999999988,1.57
21.44,-1.0799999999999996,10.169999999999987,1.57
21.472,-1.0799999999999996,10.259999999999987,1.57
21.504,-1.0799999999999996,10.349999999999987,1.57
21.536,-1.0799999999999996,10.439999999999987,1.57
21.568,-1.0799999999999996,10.529999999999987,1.57
21.6,-1.0799999999999996,10.619999999999987,1.57
21.632,-1.0799999999999996,10.709999999999987,1.57
21.664,-1.0799999999999996,10.799999999999986,1.57
21.696,-1.0799999999999996,10.889999999999986,1.57
21.728,-1.0799999999999996,10.979999999999986,1.57
21.76,-1.0799999999999996,11.069999999999986,1.57
21.792,-1.0799999999999996,11.159999999999986,1.57
21.824,-1.0799999999999996,11.249999999999986,1.57
